,0
oh__Cat_OS_Windows 11 Home Edition,-1125.1795525879265
oh__Cat_OS_bez systemu,-1046.7839906826835
__Bin_dodatkoweGpu,-857.9864990650517
oh__Cat_Rodzaj matrycy_OLED,-760.7101543320182
__Bin_Matowa matryca,-755.8753763383799
oh__Cat_Rodzaj matrycy_IPS,-554.6082790748825
oh__Cat_Rozdzielczość_ 2880 x 1800 pikseli,-507.39721705106246
oh__Cat_Rozdzielczość_ 1920 x 1080 pikseli,-480.70849812597686
oh__Cat_OS_Windows 10 Home Edition,-395.2038590907566
oh__Cat_Rozdzielczość_ 2560 x 1440 pikseli,-378.22974120746244
oh__Cat_Obudowa_composite,-373.486037173622
oh__Cat_LAN_1000  Mbps,-368.6588527505294
oh__Cat_Rodzaj matrycy_TN,-326.8529025063267
oh__Cat_Rodzaj matrycy_Retina,-326.3031112655093
oh__Cat_Częstotliwość_144 Hz,-303.02086488915495
oh__Cat_Częstotliwość_120 Hz,-223.52891403602743
sc__Int_Gwarancja,-155.79728542260307
oh__Cat_Częstotliwość_165 Hz,-119.02720046049501
sc__Int_Cache,-85.75225544805829
oh__Cat_Gwarancja_premium,-55.87658026102113
oh__Cat_OS_macOS Big Sur lub nowszy,27.562525167421388
oh__Cat_LAN_2500  Mbps,29.421140913978043
sc__Flt_CPU Clock,31.925229499313033
oh__Cat_OS_Windows 11 Professional,40.74201294314707
oh__Cat_Rozdzielczość_ 1920 x 1200 pikseli,54.17461385392019
oh__Cat_Gwarancja_standardowa,55.876580261026774
__Bin_Czytnik kart,73.63824644415098
oh__Cat_Rodzaj matrycy_LED,76.70190983660959
sc__Int_Wolne sloty RAM,92.89947443943197
sc__Int_Cpu Performance,95.80851063018353
oh__Cat_Częstotliwość_60 Hz,100.19084432165369
oh__Cat_Obudowa_metal,100.4559387281757
sc__Int_Maximum RAM,102.92541168245376
oh__Cat_LAN_100  Mbps,115.24181288721873
oh__Cat_Rozdzielczość_ 2560 x 1600 pikseli,121.09068615095241
oh__Cat_Częstotliwość_Other,130.46559555447328
__Bin_Ekran dotykowy,147.96806970143808
sc__Flt_Kamera[MP],149.71055204419625
sc__Int_Gpu Zintegrowana Performance,151.16387605821248
oh__Cat_Rodzaj matrycy_Liquid Retina,153.3297089624378
oh__Cat_Rozdzielczość_ 2880 x 1864 pikseli,153.32970896243935
__Bin_WiFi ax,183.7081171786369
oh__Cat_LAN_N/A,223.99589894924176
oh__Cat_OS_Other,267.0956571196404
sc__Int_Gpu Performance,267.34924346893257
oh__Cat_Obudowa_plastic,273.0300984454203
oh__Cat_Rozdzielczość_ 2560 x 1664 pikseli,327.03267963152723
oh__Cat_Rodzaj matrycy_WVA,349.4669382243475
sc__Int_Cores CPU,358.8774332733676
__Bin_Podswietlana klawiatura,395.83703569505843
__Bin_RAM DDR5,396.0003077719979
oh__Cat_Częstotliwość_240 Hz,414.92053950955955
sc__Int_Bateria[Wh],446.3604875073594
oh__Cat_OS_macOS Ventura lub nowszy,519.3606948997574
sc__Int_Pamiec RAM,612.9671759390542
sc__Int_Pamiec SSD,695.5614909013854
oh__Cat_Rozdzielczość_Other,710.7077677856576
oh__Cat_OS_Windows 10 Professional,764.8644313182812
oh__Cat_OS_macOS Monterey lub nowszy,947.5420809131366
sc__Int_Pamiec GPU,1293.229701995495
oh__Cat_Rodzaj matrycy_Other,1388.9758901553034
